Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7035,"Morality for Beautiful Girls (No. 1 Ladies' Detective Agency, #3)",Alexander McCall Smith,"Smith, Alexander McCall",,"=""1400031362""","=""9781400031368""",3,3.99,Random House Anchor,Paperback,227,2002,2001,2024/10/18,2024/08/19,"light-novel, wholesome, fiction, cozy, mystery","light-novel (#10), wholesome (#3), fiction (#244), cozy (#2), mystery (#44)",read,,,,1,0
7061,"The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency, #1)",Alexander McCall Smith,"Smith, Alexander McCall",,"=""1400034779""","=""9781400034772""",4,3.81,Vintage,Paperback,235,2003,1998,2024/08/13,2024/08/11,"wholesome, cozy, fiction, mystery","wholesome (#6), cozy (#6), fiction (#258), mystery (#43)",read,"I'm always pleased when I find a rare unexpected gem like this one. I go in not knowing anything, and occasionally find something  I didn't realise I'd enjoy. I think it's a nice way to approach books. <br/><br/>The story has quite a few things going for it. The main one is that it's set in Botswana, a different land and people than I usually read about. There aren't the usual tropes and trends that I'd expect from a western setting so that alone gives it a fresh feeling. I also learned some of the terminology that looked similar but had differing references: Botswana the country; Motswana, a person; Batswana the people, Setswana the language. <br/><br/>The story itself is a detective novel yes, but it's not a sherlock set in Africa, it's its own presentation. Interspersed with the detective work are slice of life stories of various characters. It gives them a certain weight along the journey. It gives a glimpse into the daily lives, the mundane, the peoples, their thoughts, fears, and motivations. <br/><br/>Most of all I liked the pride that the people had in Botswana, they expressed their love for their country without it coming across as nationalistic.<br/><br/>Overall well presented detective/slice of life/cozy  mixture.",,,1,0
58957615,"The Bullet That Missed (Thursday Murder Club, #3)",Richard Osman,"Osman, Richard",,"=""0241512425""","=""9780241512425""",3,4.36,Viking,Hardcover,413,2022,2022,2024/08/17,2023/12/30,"fiction, cozy, wholesome","fiction (#257), cozy (#5), wholesome (#5)",read,,,,1,0
49526960,"Otherside Picnic, Vol. 1",Iori Miyazawa,"Miyazawa, Iori",ZackZeal,"=""""","=""""",3,4.22,J-Novel Club,Kindle Edition,192,2019,2017,2024/08/23,2024/08/21,"fiction, fantasy, light-novel","fiction (#255), fantasy (#287), light-novel (#13)",read,,,,1,0
51866476,裏世界ピクニック2 果ての浜辺のリゾートナイト,Iori Miyazawa,"Miyazawa, Iori","宮澤 伊織, shirakaba","=""4150313016""","=""9784150313012""",3,4.34,ハヤカワ文庫JA,Paperback,352,2017,2017,2024/08/25,2024/08/23,"light-novel, fiction, fantasy","light-novel (#12), fiction (#254), fantasy (#286)",read,,,,1,0
127305853,The Women,Kristin Hannah,"Hannah, Kristin",,"=""1250178630""","=""9781250178633""",1,4.60,St. Martin's Press,Hardcover,471,2024,2024,2024/08/27,2024/06/07,"fiction, historical-fiction","fiction (#253), historical-fiction (#52)",read,"Human: You are a writing assistant I found on AliExpress. You will help generate a story outline for a book called The Women. The aim of the book is to be generically appealing enough, and to masquerade as a sweeping faux-epic, that it will net a goodreads choice award from people who can't tell good writing from a butterfly, like the meme (if they could read this they'd be mad). Actually, they might not even be able to tell that this is a novel, so please append ""a novel"" to the title so it is clear it is a novel. <br/><br/>Despite the misleadingly pluralised title, it needs to be mostly about one woman, the protagonist. Ensure that she has zero personality, attributes, morals, and motivations, so that her narcissistic shallowness can act as a self insert for readers. <br/><br/>Her primary skill should be standing around looking helpless and sorry for herself so that everyone is compelled to assist her and hand her plot devices on silver platters. Every man must fall in love with her and every woman must be her best friend, ready to drop everything and assist her in every way possible. Naturally, she must not reciprocate or help others, she exists only to be served. <br/><br/>To make her relatable to modern audiences, portray her with the vibes of an ""Instagram influencer before her time, on an egotourism holiday""; have her act as a saviour to the hapless village people of the country she is in. Their existential plight as props is inconsequential against her need to virtue signal her sadness for the orphans. Similarly, the issues around the effect of wartime on people and psyches are to be given less emphasis next to her need to lurch from one farcically contrived soap opera melodrama to the next shoehorned romance. <br/><br/>Apply generous doses of plot armour so there is never a sense of danger or conflict. However we do need to showcase a sense of grittiness, so remind readers of the smell of shit when there is a need to walk around the camp. Shit is grit. <br/><br/>To achieve the appearance of a sweeping epic, the story must cram together every war story cliché imaginable. It would be very helpful if the passages were written like a screenplay, to ensure ease of adaptation and of course future royalties from the trite movie that Hollywood generates from it.<br/><br/>Assistant:",,,1,0
131086728,Dr. Frost T2,Lee Jong Bum,"Bum, Lee Jong",,"=""""","=""9791041200269""",0,4.67,KAMONDO BOOKS,Paperback,256,2023,,2024/09/14,2024/09/14,"fantasy, fiction","fantasy (#285), fiction (#252)",read,,,,1,0
125532024,Dr. Frost T3,Lee Jong Bum,"Bum, Lee Jong",,"=""""","=""9791041200337""",0,4.62,KAMONDO BOOKS,Paperback,256,2023,,2024/09/14,2024/09/14,"fantasy, fiction","fantasy (#284), fiction (#251)",read,,,,1,0
123231770,Dr. Frost T1,Lee Jong Bum,"Bum, Lee Jong",,"=""""","=""9791041200177""",0,4.54,KAMONDO BOOKS,Paperback,256,2022,,2024/09/14,2024/09/07,"fiction, fantasy","fiction (#250), fantasy (#283)",read,,,,1,0
88563329,Ascendance of a Bookworm: Part 5 Volume 3,Miya Kazuki,"Kazuki, Miya",,"=""1718346468""","=""9781718346468""",1,4.68,J-Novel Club,Kindle Edition,291,2023,2020,2024/09/21,2024/09/19,"fantasy, fiction, light-novel, isekai","fantasy (#282), fiction (#249), light-novel (#11), isekai (#3)",read,,,,1,0
59365995,The Liminal Zone (Junji Ito),Junji Ito,"Ito, Junji",,"=""1974726444""","=""9781974726448""",4,3.99,VIZ Media LLC,Hardcover,210,2022,2022,2024/09/27,2024/09/26,"fiction, fantasy","fiction (#248), fantasy (#281)",read,,,,1,0
19034943,"The Secret Commonwealth (The Book of Dust, #2)",Philip Pullman,"Pullman, Philip",,"=""""","=""""",3,4.03,RHCP Digital,ebook,784,2019,2019,2024/09/28,2023/12/30,"fantasy, fiction","fantasy (#280), fiction (#247)",read,,,,1,0
3437310,"Dragonfly Falling (Shadows of the Apt, #2)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""0230704158""","=""9780230704152""",2,3.99,Tor Books,Paperback,673,2009,2009,2024/10/07,2023/12/30,fantasy,fantasy (#279),read,,,,1,0
218977,"The Pilgrim of Hate (Chronicles of Brother Cadfael, #10)",Ellis Peters,"Peters, Ellis",,"=""0446405310""","=""9780446405317""",3,4.10,Mysterious Press,Mass Market Paperback,256,1997,1984,2024/10/09,2024/10/08,"mystery, historical-fiction, fiction, cozy","mystery (#42), historical-fiction (#51), fiction (#246), cozy (#1)",read,,,,1,0
176443045,A Short Walk Through a Wide World,Douglas Westerbeke,"Westerbeke, Douglas",,"=""1668026066""","=""9781668026069""",2,3.52,Avid Reader Press / Simon & Schuster,Hardcover,400,2024,2024,2024/10/11,2024/06/07,"fiction, fantasy","fiction (#245), fantasy (#278)",read,"A great premise wasted in favour of pseudo intellectual nothing burgers.<br/><br/>The main character is interesting enough in how she encounters and begins her journeys. Almost everything after that seems like it's leading towards a resolution or even a minor little thread being tied up, but nothing. Nothing of note or resolution really happens. That's pretty much the biggest disappointment. <br/><br/>I kept wondering if this was trying to be the next ""The Alchemist"" in its sludgey porridge of truisms, trying to appeal to a very similar audience of the easily influenced. <br/><br/>The characters met along the way seem interesting but the writing suffers from Hollywood-tropey forced romantic plot tumour, she is literally unable to meet someone that's just a platonic friend. It gets overdone and boring quickly.<br/><br/>The one person she does meet, who has some insight and where it looks like something of consequence might happen... is quickly taken care of by also abandoning that thread abruptly.",,,1,0
50663055,Elder Race,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1250768721""","=""9781250768728""",4,4.09,Tordotcom,Paperback,199,2021,2021,2024/10/13,2024/10/03,science-fiction,science-fiction (#261),read,"I've always felt that the author isn't very good at  ending a series, everything tends to fall apart or lose momentum in the third book.  But they're really good at new and interesting scenarios and ideas, if only they could keep it short. This is the first non trilogy by this author, and I think they might be good at standalone entries.<br/><br/>A post tech society exists on a colonial world and are dimly aware of the ancestors who are of course very high tech. Lyn needs their help and the story basically covers their perspectives on their journey, how they fail to understand each other and lack confidence in themselves.<br/><br/>Not a long book and I thought it was solid.",,,1,0
220441088,Gibbet Hill,Bram Stoker,"Stoker, Bram","Brian Cleary, Paul Murray, Roddy Doyle, Paul McKinley","=""1068781319""","=""9781068781315""",0,3.56,The Rotunda Foundation,Kindle Edition,102,2024,1890,2024/10/21,2024/10/21,"suspense, horror","suspense (#5), horror (#1)",read,,,,1,0
